ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2005060|4.47268333688165|18.5726216700139|14.7259750129197|0|1.37110641278803|66.2159968081176|53.9912449825679|53.5594137015718|212.909041924861
2005140|0|0|0|0|0|0|0|0|0
2005220|0|0|0|0|0|0|0|0|0
2005310|0|0|0|0|0|0|0|0|0
2005490|0|0|0|0|0|0|0|0|0
2005570|0|0|0|0|0|0|0|0|0
2005650|0|0|0|0|0|0|0|0|0
2005731|0|0|0|0|0|0|0|0|0
2005732|0|0|0|0|0|0|0|0|0
2005810|5.82594261319937|1.06729286238325|0.846241758550377|0|0.0787918966927129|3.80516342951185|3.10265677215172|0|14.7260893324893
2005900|0|3.47299819397684|4.02387755437679|0|0.333990688255548|20.1342624564739|16.5862440052401|0|44.5513728983232
2006030|0|0|0|0|0|0|0|0|0
2006110|0|0|0|0|0|0|0|0|0
2006200|0|0|0|0|0|0|0|0|0
2006380|6.08995135403603|3.57765281964202|1.10864851865756|0|1.17840728807437|31.7271429127194|25.8456782626076|1.88601330349693|71.4134944592339
2006460|0|1.42641291323731|1.65266740270787|0|0.137175029763896|8.26944627159085|6.81222140345783|1.25327461036153|19.5511976311193
2006540|0|0|0|0|0|0|0|0|0
2006710|0|13.3502656429065|15.467855514185|0|1.28386603200707|77.3964561179724|63.7578112974676|0|171.256254604539
2006890|0|0|0|0|0|0|0|0|0
2006970|0|0|0|0|0|0|0|0|0
2007010|0|0|0|0|0|0|0|0|0
2007270|0|0|0|0|0|0|0|0|0
2007350|0|7.08797326287474|5.6199560307556|0|0.523262992541775|25.2703804174452|20.6049801511665|0|59.1065528547838
2007430|0|0|0|0|0|0|0|0|0
2007510|5.01205760114296|23.0551512017012|11.6483304561454|0|2.97137512936585|32.8477858514725|27.3501902015769|2.06959667691135|104.954487118316
2007600|9.82903385154833|28.1143789550393|50.6946034899243|0|2.96283959570513|157.398926737677|129.126633931064|1.52198987535888|379.648406436317
2007780|1.24782656318485|9.13717316038777|16.4757461342254|0|0.962922868604167|51.154651189745|41.9661560275959|3.09154193432272|124.036017878066
2007860|4.83772759880894|2.76750917838668|4.99025003103942|0|0.291654522702224|15.4939568507401|12.7109030275891|0|41.0920012092665
2007940|0|0|0|0|0|0|0|0|0
2008080|0|0.698466602164257|1.25944405545281|0|0.0736080462057993|3.91037958613916|3.20798981172488|0|9.1498881016869
2008160|1.19023456796093|17.7032729982513|31.9217581350617|0|1.86566305792057|99.112136680131|81.309427303467|0|233.102492742792
2008240|3.16755973731538|0.966431776579476|1.74262699496615|0|0.101847611102364|5.41058810660765|4.43872804138033|0|15.8277822679513
2008320|0|0|0|0|0|0|0|0|0
2008410|19.2933184000119|31.3453360990129|56.5205223753679|0|3.3033346773678|175.487506521358|143.966108814861|44.6133282214571|474.529455109437
2008590|1.40140521711529|6.25325288164038|11.2755887606105|0|0.659000338200977|35.0089644079818|28.7205880313859|0|83.3187996369348
2008750|0|0|0|0|0|0|0|0|0
2008830|3.9738476704502|110.028257763573|198.398083376896|0|11.5953505240041|615.995455937281|505.349187511151|26.2543253499406|1471.5945081333
2008910|0|0|0|0|0|0|0|0|0
2009210|0|0|0|0|0|0|0|0|0
2009301|5.52883154149594|3.47915439568611|6.27345718187813|0|0.36665139996851|19.4781171837875|15.9794209489692|0|51.1056326517854
2009302|0|0|0|0|0|0|0|0|0
2009480|0|0|0|0|0|0|0|0|0
2009990|0|0|0|0|0|0|0|0|0
2010060|0|0|0|0|0|0|0|0|0
2010140|0|0|0|0|0|0|0|0|0
2010310|19.445658588021|16.2820640645292|5.0455108742592|0|5.3629862722272|144.391700237996|117.624881585098|32.1182824275151|340.271084049646
2010490|0|0|0|0|0|0|0|0|0
2010570|0|0|0|0|0|0|0|0|0
2010650|156.73421089541|41.9658401068258|13.0044386121591|0|13.8227084418425|372.159142779767|303.16960758914|21.1041028135585|921.960051238703
2010730|0|0|0|0|0|0|0|0|0
2010810|52.9177770548645|31.0585392343565|9.62446756286499|0|10.2300616733324|275.431620289899|224.373088397681|0|603.635554212998
2010900|10.6003814132161|27.609105333438|8.55555171852573|0|9.09388713279111|244.841541302479|199.453689203382|1.87592025009409|502.030076353925
2011030|9.4225612561921|38.2846260623674|11.8636983830223|0|12.6101901574703|339.513603939437|276.575782362022|15.0073620007527|703.277824161264
2011110|0|0|0|0|0|0|0|0|0
2011200|0|0|0|0|0|0|0|0|0
2011380|0|0|0|0|0|0|0|0|0
2011460|8.70745616085609|0.940754700250481|0.291522503001618|0|0.309865783783993|8.34274881475113|6.79619978026337|1.79775690634017|27.1863046492468
2011540|0|2.62456927243794|0.813305533736397|0|0.864480628672735|23.2750600991245|18.9604124304449|0|46.5378279644165
2011620|0|0|0|0|0|0|0|0|0
2011710|27.1739936227683|39.4026244017955|12.210145415575|0|12.9784364512426|349.428174994648|284.652425579147|1.7717024584222|727.617502923599
2011890|30.7915841050563|0|0|0|0|0|0|0|30.7915841050563
2011970|15.9636696282362|12.5825941158502|3.89911347764664|0|4.14445485811092|111.584265397296|90.8991720610226|1.79775690634017|240.871026444503
2012010|0|0|0|0|0|0|0|0|0
2012190|0|0|0|0|0|0|0|0|0
2012270|0|0|0|0|0|0|0|0|0
2012350|0|0|0|0|0|0|0|0|0
2012430|30.7074540938403|43.4195788012346|13.4549253785728|0|14.301540893958|385.05110788662|313.671706162627|3.80394939602413|804.410262612877
2012510|120.453143558509|30.4569334206093|9.43804103467737|0|10.0319047500068|270.096492877568|220.026967886027|1.79775690634017|662.301240433737
2012600|5.61567824866806|11.6793332623488|3.61920962512696|0|3.84693879759367|103.574017441104|84.3738353154798|0|212.709012690321
2012780|0|0|0|0|0|0|0|0|0
2012860|2.94455039256003|8.23160362719171|2.55082190126415|0|2.71132560810994|72.9990521290723|59.4667480773045|10.9428681255489|159.846969861052
2012940|0|0|0|0|0|0|0|0|0
2013080|65.7896687709127|26.422936363557|8.187979866915|0|8.70318679671563|234.322423231705|190.88456774131|0|534.310762771116
2013160|22.8833630507522|24.9777189979548|7.74013370288353|0|8.22716109988805|221.506026501798|180.444028948442|1.6674846667503|467.445916968469
2013240|16.4053521871202|9.96995470374151|3.0895047872454|0|3.28390368684123|88.4150010258951|72.0249433234433|0|193.188659714287
2013320|0|0|0|0|0|0|0|0|0
2013410|0|0|0|0|0|0|0|0|0
2013590|0|0|0|0|0|0|0|0|0
2013670|0|0|0|0|0|0|0|0|0
2013750|0|0|0|0|0|0|0|0|0
2013830|0|0|0|0|0|0|0|0|0
2013911|0|2.48822801153207|0.77105589562022|0|0.819572544066359|22.0659660680012|17.9754559405517|0|44.1202784597715
2013912|0|0|0|0|0|0|0|0|0
2014050|0|0|0|0|0|0|0|0|0
2014131|0|0|0|0|0|0|0|0|0
2014132|0|0|0|0|0|0|0|0|0
2014210|0|0|0|0|0|0|0|0|0
2014300|3.74400410504181|10.0114416327897|3.10236082016743|0|3.29756865155826|88.7829131161053|72.3246531819281|0|181.262941507591
2014480|0|0|0|0|0|0|0|0|0
2014560|0|0|0|0|0|0|0|0|0
2014640|0|1.68816962005276|0.523132579617232|0|0.556049310557465|14.9709324790448|12.1956743854642|43.0139559613212|72.9479143360576
2014720|52.0969436397354|5.53151644320782|1.71411476178561|0|1.82197088968279|49.054288262457|39.9607791763813|44.5077010960102|194.68731426926
2014810|3.64079790034013|0|0|0|0|0|0|15.7853979887183|19.4261958890584
2014990|0|0.252314785128778|0.0781876908884666|0|0.0831074440907941|2.23756402600681|1.82277238348406|0|4.47394632959891
2015020|0|0|0|0|0|0|0|0|0
2015110|57.6060457257763|9.58796183489356|2.97113225376173|0|3.15808287545018|85.0274329882588|69.2653505723942|0|227.616006250535
2015290|8.38341621788845|7.87998482786799|2.44186173082442|0|2.59550940775865|69.8808457352896|56.9265836688098|8.30810420458857|156.416305793027
2015370|5.389338997214|2.91132444379359|0.902165664097691|0|0.95893204720147|25.8180464539247|21.0319890402007|4.45077010960102|61.4625667560332
2015450|0|0|0|0|0|0|0|0|0
2015530|0|0|0|0|0|0|0|0|0
2015610|0|0|0|0|0|0|0|0|0
2015700|0|0|0|0|0|0|0|0|0
2015880|0|0|0|0|0|0|0|0|0
2015960|0|0|0|0|0|0|0|0|0
2016000|0|0|0|0|0|0|0|0|0
