ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2005220|0|0|0|0|0|0|0|0|0
2005310|0|0|0|0|0|0|0|0|0
2005490|0|0|0|0|0|0|0|0|0
2005570|0|0|0|0|0|0|0|0|0
2005650|0|0|0|0|0|0|0|0|0
2005731|0|0|0|0|0|0|0|0|0
2005732|0|0|0|0|0|0|0|0|0
2005810|0.00179199003650866|2.51347234622832|6.95252091277948|0|0.382280014210774|0|0|0|9.85006526325508
2005900|0|8.03809561051074|34.267532849258|0|1.157967694217|0|0|0|43.4635961539857
2006030|0|0|0|0|0|0|0|0|0
2006110|0|0|0|0|0|0|0|0|0
2006200|0|0|0|0|0|0|0|0|0
2006380|0.00187319595708512|9.39546134837061|9.49255765600199|0|4.20299316167|0|0|1.88596049512318|24.9788458571229
2006460|0|3.30136750331553|14.0741942929128|0|0.475594854902992|0|0|1.25323951867161|19.1043961698029
2006540|0|0|0|0|0|0|0|0|0
2006710|0|30.8985797486179|131.724994057878|0|4.45124801691851|0|0|0|167.074821823414
2006890|0|0|0|0|0|0|0|0|0
2006970|0|0|0|0|0|0|0|0|0
2007010|0|0|0|0|0|0|0|0|0
2007270|0|0|0|0|0|0|0|0|0
2007350|0|16.6921614628432|46.1722213988374|0|2.5387507170308|0|0|0|65.4031335787114
2007430|0|0|0|0|0|0|0|0|0
2007510|0.00154164877342027|52.4203612560001|91.5796254690091|0|13.170725156975|0|0|2.06953872820302|159.241792258961
2007600|0.00302329286432987|65.3705081144125|431.950884545764|0|14.3750107598965|0|0|1.52194725964136|513.221373972579
2007780|0.000383816476916878|21.2454151371841|140.384037477373|0|4.67187849696635|0|0|3.0914553711465|169.393170299147
2007860|0.00148802695666236|6.43490939251248|42.5201651974737|0|1.41504012167731|0|0|0|50.3716027386201
2007940|0|0|0|0|0|0|0|0|0
2008080|0|1.62404856096744|10.7312797879338|0|0.357129173566178|0|0|0|12.7124575224674
2008160|0.000366101870289945|41.1629918282941|271.994072612411|0|9.05176458787231|0|0|0|322.209195130448
2008240|0.000974303364481305|2.24711121643293|14.8483116562606|0|0.494140994871441|0|0|0|17.5905381709295
2008320|0|0|0|0|0|0|0|0|0
2008410|0.00593439322002249|72.8830094766235|481.591490105672|0|16.0270139495689|0|0|44.6120790482372|615.119526973322
2008590|0.000431055427922032|14.5398309845103|96.0753256485774|0|3.19731684636135|0|0|0|113.812904534877
2008750|0|0|0|0|0|0|0|0|0
2008830|0.00122230785725836|255.833611990889|1690.48028206527|0|56.2579522661136|0|0|26.2535902288134|2028.82665885895
2008910|0|0|0|0|0|0|0|0|0
2009210|0|0|0|0|0|0|0|0|0
2009301|0.00170060223618555|8.08960037915855|53.4539219625383|0|1.77890758153719|0|0|0|63.3241305254702
2009302|0|0|0|0|0|0|0|0|0
2009480|0|0|0|0|0|0|0|0|0
2009990|0|0|0|0|0|0|0|0|0
2010060|0|0|0|0|0|0|0|0|0
2010140|0|0|0|0|0|0|0|0|0
2010310|0.00598125123377184|42.7591807539574|43.2010705574072|0|19.1280169907421|0|0|32.1173831155858|137.211632668926
2010490|0|0|0|0|0|0|0|0|0
2010570|0|0|0|0|0|0|0|0|0
2010650|0.0482095624608944|110.20868948235|111.347628425406|0|49.301077517738|0|0|21.1035118986657|292.009116886621
2010730|0|0|0|0|0|0|0|0|0
2010810|0.0162768732087507|81.5644556987635|82.4073741238057|0|36.4872821914903|0|0|0|200.475388887268
