ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2005060|0.0688105128772657|265.254672186484|336.116116471855|0|21.9199999951348|405.596761568563|634.7447913419|57.0407755921609|1720.74192766897
2005140|0|0|0|0|0|0|0|0|0
2005220|0|0|0|0|0|0|0|0|0
2005310|0|0|0|0|0|0|0|0|0
2005490|0|0|0|0|0|0|0|0|0
2005570|0|0|0|0|0|0|0|0|0
2005650|0|0|0|0|0|0|0|0|0
2005731|0|0|0|0|0|0|0|0|0
2005732|0|0|0|0|0|0|0|0|0
2005810|0.0896298863597314|15.2431047898599|19.3152231502986|0|1.25965305027563|23.3079926097243|36.4761958365811|0|95.6917993230992
2005900|0|50.5305454149868|94.6987599815322|0|0.349848270351691|120.781912160715|189.510304116516|0|455.871369944102
2006030|0|0|0|0|0|0|0|0|0
2006110|0|0|0|0|0|0|0|0|0
2006200|0|0|0|0|0|0|0|0|0
2006380|0.0936915592958077|66.8330119753834|30.2887513343806|0|6.08577027274032|200.141883140975|313.127814617838|2.00860416822378|618.579527068837
2006460|0|20.7536596528798|38.8942137486522|0|0.143687978694848|49.606959050635|77.8347496558275|1.33473746003473|188.568007546724
2006540|0|0|0|0|0|0|0|0|0
2006710|0|194.240298063203|364.023685356322|0|1.34482285421471|464.287777344723|728.480914965993|0|1752.37749858446
2006890|0|0|0|0|0|0|0|0|0
2006970|0|0|0|0|0|0|0|0|0
2007010|0|0|0|0|0|0|0|0|0
2007270|0|0|0|0|0|0|0|0|0
2007350|0|101.230620949218|128.273869413936|0|8.36545193501558|154.79015577796|242.241197269649|0|634.901295345778
2007430|0|0|0|0|0|0|0|0|0
2007510|0.0771085784815467|281.810447245773|214.696194031964|0|37.5204338904761|209.589799507811|330.265065371567|2.20412046091008|1076.16316908698
2007600|0.15121590541319|384.304957630261|1212.1579799891|0|47.3671797591409|972.861834218687|1525.57133537117|1.62091921725683|4144.03542209103
2007780|0.0191973317419089|124.899111229835|393.951343496459|0|15.3943334217208|316.180096121073|495.810683995629|3.29249216005294|1349.54725775651
2007860|0.0744265784455545|37.8300192667288|119.321801155177|0|4.66270675754043|95.766086805902|150.173428325599|0|407.828468889393
2007940|0|0|0|0|0|0|0|0|0
2008080|0|9.5475762911268|30.1145498153543|0|1.17677837214116|24.1695361938705|37.9009128631274|0|102.90935353562
2008160|0.0183113010461285|241.992028007805|763.280728024389|0|29.826521004584|612.598936234579|960.633200241531|0|2608.34972481393
2008240|0.0487316882679226|13.2104829185402|41.6679305621254|0|1.62824680422047|33.4421255512674|52.4415146533838|0|142.439032177805
2008320|0|0|0|0|0|0|0|0|0
2008410|0.296820283086437|428.470003932926|1351.46144784566|0|52.8107048705234|1084.66494032304|1700.89285367827|47.5131945558409|4666.10996548935
2008590|0.02156008026399|85.4778292479182|269.610450705389|0|10.5354969354902|216.385753282859|339.320436859508|0|921.351527111429
2008750|0|0|0|0|0|0|0|0|0
2008830|0.0611361180088483|1504.0134802758|4743.89389449798|0|185.3758986605|3807.38599401179|5970.46644328775|27.9608564976804|16239.1577033495
2008910|0|0|0|0|0|0|0|0|0
2009210|0|0|0|0|0|0|0|0|0
